node,fairness,goodness,num_ratings_received
7592,0.9593345595289958,-0.9502451289752117,6
7587,0.9640180792523394,-0.9390197176186132,5
7597,0.9685719303809661,-0.9381315378787171,9
7602,0.3513592392127153,-0.8214153077184171,17
7604,0.46472607546414846,-0.8192193336657243,73
7593,0.9731600847603029,-0.793914193042892,7
7601,0.36411840304498133,-0.7366421569228814,16
7586,0.6136881960336744,-0.7188706497250053,6
7596,0.9342041538467075,-0.7143751997985807,9
7594,0.4133251962894815,-0.6869528872257014,8
7590,0.9693230244341051,-0.6592717773913536,8
7598,0.40983696895905386,-0.626932577613257,19
7599,0.40945971720679986,-0.6269127222579037,19
7585,0.9533024782333315,-0.613880291617152,7
7581,0.8218506653362749,-0.5809301869859337,6
7569,0.8726109137737146,-0.5545948925620626,5
7584,0.4673363922071986,-0.5507901810619299,7
7563,0.9715908997425182,-0.5091824312556039,5
7578,0.9805651059049936,-0.5024185573602872,6
7576,0.4723777364824473,-0.4935089418274963,6
7582,0.9433304458552065,-0.48693641545749805,7
7583,0.9410816526476474,-0.4829572081281457,8
7568,0.7882121319530423,-0.4451473323486252,6
7575,0.9685009982584079,-0.4330195505634815,6
7571,0.6384059026369799,-0.40982102944791815,6
7556,1.0,-0.3945167092658688,6
7536,0.48284746914323373,-0.386117258238655,6
7600,0.9523248491441122,-0.3830437793147159,34
7551,0.8232655459775955,-0.382750319909818,5
7558,0.8338169366402739,-0.3584102518845677,6
7570,0.9155595504666144,-0.34303200574605647,8
7589,0.9757580219161969,-0.3408306009886983,15
7506,0.7360286555412368,-0.323922746751487,5
7591,0.9408960464663121,-0.3223332488901046,17
7517,0.5059881245187372,-0.30862103206621017,7
7521,0.827729832622179,-0.30767446277688015,6
7579,0.8479780393451075,-0.3039839286017837,10
7483,0.5580209271972751,-0.2981767715845347,5
7513,0.7621494454030135,-0.28396133331067464,7
7516,0.9577684479846138,-0.26533293070597413,5
7518,0.8197844971096142,-0.2599936692101412,6
7588,0.950025169950902,-0.2549019725512249,19
7484,1.0,-0.24611563869279615,5
7560,0.919280957398419,-0.24536130686485627,10
7562,0.6421092566702162,-0.24023805072406534,10
7577,0.9565601406525868,-0.2304759018154499,13
7520,0.7000056441914561,-0.22537048567202378,6
7499,0.9613676615494374,-0.22275021918819743,5
7580,0.8713446777138194,-0.2076882343612455,15
7603,0.9122025180448052,-0.19391138145926326,93
5533,0.5195011563823599,-0.17784747737174855,8
7334,0.8513309297966336,-0.17350828098619714,15
7514,0.9198033244904638,-0.16198516112109929,9
7498,0.9711183152331572,-0.15926389221724885,7
7509,0.8387035365676946,-0.1349241728221771,8
7553,0.8942219268579921,-0.12530691073783107,9
7525,0.972544778031467,-0.12079856500925103,13
7595,0.8955606188734405,-0.11363354271491707,47
7412,0.9874852981421877,-0.11133074010034968,5
7410,0.9774993723226645,-0.09656650710350272,6
7444,0.9630365008780558,-0.09293532931223718,6
7402,0.9627770788074607,-0.09180168030760835,5
7411,0.9711050001886244,-0.0832098691541079,5
7565,0.8025359784794635,-0.07646573399725194,46
7512,0.9726845501783152,-0.07194783764204889,18
7550,0.8819801905964613,-0.06474773660526778,30
7397,0.9631678389972758,-0.058993819494442094,6
7387,0.9270289451155704,-0.05571038306014238,5
7388,0.784515578265099,-0.049341563753090865,6
7398,0.7544384648724654,-0.04394605179333089,8
7552,0.9627787347050604,-0.0409321910503245,49
7415,0.9526156613402825,-0.039567966878683754,15
7400,0.869035393307649,-0.03704999155708591,9
7564,0.8832141977264484,-0.02892835590316859,92
7375,0.9717436093508006,-0.027765813678747697,5
7328,0.778807030950234,-0.020716422090407773,11
7371,0.9696878996257856,-0.019850730337126223,7
7390,0.9301680354354125,-0.017042877319302135,8
7380,0.8928230279690264,-0.014352864784588217,7
7372,0.9797644628732124,-0.013109593660459582,9
7373,0.9918269318695994,-0.0071203564611824555,9
7389,0.9844409371822065,-0.005115545779150061,7
7341,0.9523623215456676,-0.002081136355091613,10
3774,0.917904505060766,0.0013444254481996048,9
5389,0.8943027443090239,0.004105795268235568,5
4934,0.9792869957961741,0.007866571065216432,8
5679,0.9489743059874913,0.009951219828754314,11
3516,0.9622077437029666,0.01013764547268678,9
798,0.9594537712016974,0.010964831778457015,81
2408,0.40559433604815465,0.012822868942823695,5
7327,0.9859971114532818,0.015285607848539443,9
7394,0.9337166712163198,0.015413115757028528,6
2336,0.9012340090545556,0.01732083822194098,43
3254,0.9653847286444076,0.01819202099733903,10
3369,0.9812815731413008,0.01943694301376193,5
3133,0.9573452453277554,0.021639971998772742,8
2369,0.8894323548723927,0.022542398935084293,9
1921,0.9563038023809517,0.023598110565376734,9
1760,0.9723773226213738,0.025579794510644818,12
5342,0.8303618349066206,0.026784614605737146,39
6369,0.9152535212922197,0.03192664149363654,7
1638,0.9471845554959927,0.034978574881492856,15
2257,0.9817567336531048,0.0365404225729989,5
941,0.8819296180350855,0.0381674800541572,14
